title,ingredients,directions,NER
Phylis' Pineapple-Banana Salad,"[""1 large can chunk pineapple"", ""4 to 5 bananas""]","[""Drain pineapple and reserve juice."", ""Cut bananas in chunks like pineapple.""]","[""pineapple"", ""bananas""]"
Fresh Cranberry-Orange Relish,"[""1 navel orange, unpeeled and cut into small chunks"", ""1 bag cranberries (12 oz.)"", ""3/4 c. granulated sugar""]","[""Process all ingredients in food processor using on/off turns until finely chopped. Cover and chill at least 1 hour."", ""Makes 3 cups; 12 servings.""]","[""orange"", ""cranberries"", ""sugar""]"
No Bake Peanut Butter Cookies,"[""1 c. dry milk"", ""1 c. oatmeal"", ""1/2 c. peanut butter"", ""1/2 c. honey""]","[""Thoroughly mix everything together."", ""Shape the dough into little balls, then enjoy.""]","[""milk"", ""oatmeal"", ""peanut butter"", ""honey""]"
Ambrosia,"[""8 small navel oranges"", ""1 ripe pineapple, peeled, cored and diced"", ""1 c. shredded coconut"", ""1 large banana""]","[""Cut peel and white pith from oranges. Slice into circles. Combine oranges, pineapple and coconut in a large bowl."", ""Cover and refrigerate overnight."", ""Just before serving, slice banana and add to fruit. Toss all together and serve.""]","[""oranges"", ""pineapple"", ""coconut"", ""banana""]"
Big Red Ice Cream,"[""1 can Eagle Brand milk"", ""1 (3-liter) bottle Big Red soda""]","[""Put Eagle Brand milk in ice cream freezer, then fill remainder to the fill line with Big Red."", ""Put lid on."", ""Surround with ice and rock salt."", ""Crank until firm."", ""Delicious!""]","[""milk""]"
Orange Sherbet Surprise,"[""72 oz. or 6-pack orange Crush"", ""1 can crushed pineapple"", ""1 can Eagle Brand milk""]","[""Place in ice cream freezer and freeze.""]","[""pineapple"", ""milk""]"
No Bake Peanut Butter Cookies,"[""2/3 c. milk"", ""6 heaping Tbsp. peanut butter"", ""36 soda crackers"", ""2 c. sugar""]","[""Boil milk and sugar for 3 minutes."", ""Add peanut butter and cream well."", ""Roll crackers fine and add to other mixture."", ""Drop by teaspoonfuls on wax paper.""]","[""milk"", ""peanut butter"", ""crackers"", ""sugar""]"
Danish Pickles,"[""Desired amount of cucumbers""]","[""Slice cucumbers very thin and sprinkle with salt. Let stand a few hours or over night. Rinse and squeeze dry.""]","[""cucumbers""]"
Frozen Chocolate Bananas,"[""1/4 c. peanuts, chopped"", ""1/2 c. milk"", ""1 large banana"", ""chocolate pieces""]","[""Chop peanuts into bowl."", ""Put foil on a plate."", ""Melt chocolate pieces in skillet on low heat, stirring all the time until melted. Peel banana."", ""Cut in half and place on foiled plate."", ""Spread chocolate on all sides of banana."", ""Then roll in peanuts to coat. Put on waxed paper and put in freezer until hard.""]","[""peanuts"", ""milk"", ""banana"", ""chocolate""]"
Candy Quick Candy,"[""2 c. Quaker 100% natural oat cereal (fruit and nut)"", ""2 c. toasted pecans, chopped"", ""1 lb. white chocolate or almond bark""]","[""Melt white chocolate in a large bowl in microwave. Add cereal and nuts."", ""Mix well. Drop spoonfuls on wax paper."", ""Refrigerate.""]","[""cereal"", ""pecans"", ""white chocolate""]"
